1	0	19	4	4	3.875	3	2.625	3.625	3.5	2.875	5	5	5	1	1	1	5	5	5	5	5	5	5	5	5	5	5	2	1	4	1	1	1	4	1	2
2	1	19	3	3	3.625	3.25	2.75	3.375	3	2.875	2	2	2	4	4	4	3	5	4	4	3	5	5	4	5	5	4	2	3	5	2	2	1	5	4	2
3	1	19	3	3	3.125	3.625	1.375	3.5	3.375	3	3	2	2	3	3	4	4	5	5	4	5	5	2	5	5	4	3	3	4	5	1	2	1	3	4	3
4	0	20	4	3	2.875	3.625	2	2.75	2.75	2.75	5	5	5	1	1	1	2	3	2	2	1	5	5	5	5	4	3	4	5	4	4	1	5	2	5	4
5	0	19	5	4	3.625	3.625	2.375	3	3.125	2.875	2	2	3	4	3	4	2	5	4	4	2	5	4	5	5	4	5	1	2	4	4	1	2	5	2	2
6	0	19	4	3	3.375	4	2.5	4.25	3.375	2.75	3	1	2	5	3	5	5	5	5	5	5	5	5	5	4	5	4	2	2	4	2	1	2	5	4	2
7	1	19	2	4	2.875	3.25	3.25	3.625	3.75	3.25	3	3	4	2	2	2	3	4	4	4	4	5	5	5	5	5	3	3	3	3	3	2	3	4	3	3
8	1	19	5	4	2.875	3.875	2.25	3.625	4.375	2.75	4	3	3	3	2	2	4	5	5	5	4	5	5	4	5	4	4	2	3	4	2	3	4	4	2	2
9	1	20	4	5	3.625	3.375	1.25	3.5	3.125	3	2	2	3	3	2	4	3	4	4	4	3	5	5	5	5	5	4	2	2	4	1	1	1	5	5	2
10	0	19	2	5	3.375	3.5	1.75	2.75	3.375	3.375	4	3	4	2	3	1	2	3	3	3	3	3	4	4	4	2	4	3	4	3	3	5	4	4	3	3
11	0	20	4	2	3.25	3.25	2.625	3.625	4	2.875	3	4	5	3	1	1	2	1	4	3	3	5	5	5	5	3	4	1	4	4	1	2	4	4	3	3
12	1	19	4	4	3.5	3.875	2.75	3.375	4	3.25	5	4	5	4	2	2	4	5	5	5	5	5	4	5	4	5	4	3	2	4	4	2	1	5	2	2
13	0	19	4	3	4	3.5	2.125	3.875	3.875	3.5	4	5	5	1	1	1	5	5	5	5	5	5	5	5	5	5	5	1	3	5	1	4	5	2	5	3
14	0	20	2	4	3.125	3	2.25	3	2.875	3.25	1	1	1	5	1	5	5	5	1	1	1	1	1	1	1	1	1	5	1	5	1	1	1	5	2	2
15	0	20	3	4	3.375	3.5	2.625	3.375	2.875	3	3	2	3	4	4	4	5	5	5	5	5	5	2	4	3	4	2	2	5	5	3	1	1	4	5	2
16	0	20	4	4	3.5	3.625	2.875	3.25	3.125	3.125	4	4	4	2	4	2	2	4	4	4	4	4	4	4	4	4	5	2	2	5	1	3	2	5	2	1
17	1	19	4	5	2.375	3.5	2.75	3.375	3.75	2.875	3	3	3	4	1	2	2	4	4	4	5	5	3	4	3	4	3	3	4	4	3	3	4	4	3	4
